faceoff_ID,video,start_frame,end_frame,type
1,video_FACEOFF_000203.mp4,0,155,far
2,video_FACEOFF_000210.mp4,320,455,mid
3,video_FACEOFF_000213.mp4,0,120,far
4,video_FACEOFF_000217.mp4,0,100,close
5,video_FACEOFF_000220.mp4,60,160,mid
6,video_FACEOFF_000221.mp4,0,65,close
7,video_FACEOFF_000223.mp4,0,20,mid
8,video_FACEOFF_000224.mp4,0,35,far
9,video_FACEOFF_000225.mp4,75,195,close
10,video_FACEOFF_000226.mp4,35,90,far
11,video_FACEOFF_000228.mp4,180,290,far
13,video_FACEOFF_000241.mp4,0,130,mid
14,video_FACEOFF_000245.mp4,105,170,close
16,video_FACEOFF_000251.mp4,0,85,close
17,video_FACEOFF_000252.mp4,210,270,close
18,video_FACEOFF_000261.mp4,0,100,close
19,video_FACEOFF_000261.mp4,0,235,close
21,video_FACEOFF_000263.mp4,555,620,far
22,video_FACEOFF_000266.mp4,0,35,far
23,video_FACEOFF_000268.mp4,35,95,mid
24,video_FACEOFF_000272.mp4,20,70,far
28,video_FACEOFF_000056.mp4,0,50,far
31,video_FACEOFF_000058.mp4,10,75,close
32,video_FACEOFF_000059.mp4,0,40,mid
33,video_FACEOFF_000060.mp4,0,40,mid
34,video_FACEOFF_000063.mp4,640,980,close
35,video_FACEOFF_000064.mp4,0,150,close
37,video_FACEOFF_000067.mp4,0,145,close
38,video_FACEOFF_000068.mp4,510,695,far
40,video_FACEOFF_000075.mp4,160,235,far
41,video_FACEOFF_000076.mp4,0,15,far
44,video_FACEOFF_000085.mp4,45,95,close
45,video_FACEOFF_000086.mp4,0,80,close
47,video_FACEOFF_000091.mp4,0,60,close
48,video_FACEOFF_000091.mp4,75,205,close
49,video_FACEOFF_000091.mp4,215,330,close
52,video_FACEOFF_000098.mp4,205,400,close
57,video_FACEOFF_000110.mp4,85,115,far
60,video_FACEOFF_000115.mp4,40,65,far
61,video_FACEOFF_000115.mp4,335,390,far
62,video_FACEOFF_000117.mp4,40,340,far
63,video_FACEOFF_000118.mp4,150,360,far
66,video_FACEOFF_000121.mp4,10,390,close
67,video_FACEOFF_000123.mp4,15,200,close
68,video_FACEOFF_000123.mp4,400,520,close
69,video_FACEOFF_000124.mp4,60,100,far
71,video_FACEOFF_000202.mp4,90,215,mid
